data_field,description
X_id,0
eventId,0
eventName,0
providerId,0
providerName,0
timestamp,0
memberCode,0
posId,0
brand,0
items,0
createdAt,0
X__v,0
amount,0
event_id,0
event,0
timestamp.1,0
id,0
pos_name,0
pos_type,0
channels,0
pos_parent,0
pos_id,0
tran_id,0
tran_date,0
created_at,0
membership_name,0
membership_id,0
is_phone_number,0
membership_type,0
membership_type_name,0
log_type,0
coupon_code,0
amount.1,0
point,0
visited_frequency,0
eat_times,0
membership_id_new,0
id.1,0
pos_name.1,0
pos_type.1,0
pos_parent.1,0
pos_id.1,0
tran_id.1,0
tran_date.1,0
created_at.1,0
discount_extra,0
discount_extra_amount,0
service_charge,0
service_charge_amount,0
coupon_amount,0
coupon_code.1,0
ship_fee_amount,0
discount_amount_on_item,0
original_amount,0
vat_amount,0
bill_amount,0
total_amount,0
membership_name.1,0
membership_id.1,0
is_phone_number.1,0
membership_type.1,0
membership_type_name.1,0
membership_id_new.1,0
sale_note,0
tran_no,0
sale_type,0
hour,0
pos_city,0
pos_district,0
pos_city_name,0
pos_district_name,0
number_of_main_items,0
items.1,0
sale_details,0
payment_info,0
Pos_Parent,0
Pos_Id,0
Coupon_Code,0
Membership_Id,0
Sale_Tran_Id,0
Voucher_Order_Line,0
Created_At,0
Code,0
return_data,0
foodbook_code,0
pos_id.2,0
pos_parent.2,0
order_data_item,0
adapt_to_online,0
time_out,0
vat_tax_rate,0
vat_tax_amount,0
amount.2,0
total_amount.1,0
user_id,0
user_phone,0
username,0
note,0
to_address,0
longitude,0
latitude,0
province,0
district,0
ship_price_real,0
distance,0
status,0
confirmed_count,0
pos_workstation,0
created_by,0
source_fb_id,0
pos_mobile_tran_id,0
created_at.2,0
updated_at,0
update_at,0
isFromFoodbook,0
status_payment_pos_mobile,0
isCallCenterConfirmed,0
isCallCenterConfirmWithPos,0
isCallCheckAhamove,0
commission_rate,0
amount_total_item,0
amount_partner_commission,0
note_history,0
editable,0
show_customer_phone,0
is_tranfer_order,0
is_estimate,0
order_type,0
table_name,0
is_pending,0
nonepoint,0
coupon_log_id,0
Payment_Method,0
Payment_Info,0
Amount,0
Trans_Verified,0
