data_field,description
from_id,0
time,0
Timediff,0
message,0
from,0
Datetype,0
lat1,0
lng1,0
lat2,0
lng2,0
X1_1,0
Event.Category,0
Event.label,0
Date,0
Minute,0
Session.Duration,0
date,0
createdAt,0
lastActiveTime,0
Dateymd,0
Hour,0
KM_QR,0
KM_Content,0
TS_QR,0
TS_Content,0
AN_QR,0
AN_Content,0
AN1_QR,0
AN1_Content,0
UONG_QR,0
UONG_Content,0
Banh_QR,0
Banh_Content,0
Tim_QR,0
Tim_Content,0
Mi_QR,0
Mi_Content,0
Coffee_QR,0
Coffee_Content,0
MonMan_QR,0
MonMan_Content,0
MonNgot_QR,0
MonNgot_Content,0
Vitlon_QR,0
Vitlon_Content,0
GiaCa_QR,0
GiaCa_Content,0
Hoigi_QR,0
Hoigi_Content,0
Session,0
