data_field,description
X1,0
X_id,0
title,0
description,0
dateFrom,0
dateTo,0
providerId,0
provider,0
isAvailableInJoyGifts,0
updatedAt,0
createdAt,0
isDeleted,0
isActive,0
status,0
spam,0
menuRef,0
listReceive,0
numberOfRemainingUses,0
numberOfUses,0
maxDiscountedPrice,0
minBill,0
price,0
percent,0
customerGroup,0
campaign,0
promotionType,0
categories,0
listIgnores,0
listShares,0
listLikes,0
keywords,0
X__v,0
loyaltyProgram,0
linkImage,0
image,0
dateBegin,0
dateEnd,0
link,0
isVoucherOfHunter2,0
isVoucher,0
