data_field,description
X,
X__v,
X_id,This is customerID
aboutUs,
accountType,
address,
background,
backgroundUrl,
botConfig,
botToken,
brand,
category,
coin,
contract,
contracts,
costShip,
createdAt,
createdByAdmin,
criterion,
currency,
deviceTokens,
discounts,
email,
enabledBook,
enabledQRCode,
enabledReview,
enabledShip,
fanpageId,
featureConfig,
feedbacks,
gifts,
gps,
imgLink,
isActive,
isActivedBot,
isDefaultPassword,
isSignedContract,
isTrained,
keywords,
lang,
latestCustomerLimit,
menu,
menuUrl,
name,
needToResetPassword,
numOfQuestionsInChallenge,
openingDate,
options,
password,
photos,
place,
placeId,
providerType,
questionBank,
questions,
referralCode,
resetPasswordCodes,
restriction,
searchingPriority,
shipTels,
source,
spbotAccess,
staff,
synonyms,
tags,
tel,
token,
tokens,
updatedAt,
username,
verifyCode,
vouchers,
workTime,
