data_field,description
X,0
X__v,0
X_id,0
aboutUs,0
accountType,0
address,0
background,0
backgroundUrl,0
botConfig,0
botToken,0
brand,0
category,0
coin,0
contract,0
contracts,0
costShip,0
createdAt,0
createdByAdmin,0
criterion,0
currency,0
deviceTokens,0
discounts,0
email,0
enabledBook,0
enabledQRCode,0
enabledReview,0
enabledShip,0
fanpageId,0
featureConfig,0
feedbacks,0
gifts,0
gps,0
imgLink,0
isActive,0
isActivedBot,0
isDefaultPassword,0
isSignedContract,0
isTrained,0
keywords,0
lang,0
latestCustomerLimit,0
menu,0
menuUrl,0
name,0
needToResetPassword,0
numOfQuestionsInChallenge,0
openingDate,0
options,0
password,0
photos,0
place,0
placeId,0
providerType,0
questionBank,0
questions,0
referralCode,0
resetPasswordCodes,0
restriction,0
searchingPriority,0
shipTels,0
source,0
spbotAccess,0
staff,0
synonyms,0
tags,0
tel,0
token,0
tokens,0
updatedAt,0
username,0
verifyCode,0
vouchers,0
workTime,0
