data_field,description
X_id,0
viewedAt,0
createdAt,0
updatedAt,0
customer,0
provider,0
X__v,0
savedDate,0
numberOfVisits,0
arrLastVisitTime,0
lastVisitTime,0
type,0
menu,0
place,0
fbId,0
name,0
gender,0
avatarUrl,0
lastActiveTime,0
sources,0
spId,0
phoneNumber,0
feedbacks,0
coin,0
subscribeInvitation,0
challengeCount,0
isIgnorePromotion,0
subscribeChallenge,0
encryptedCoin,0
source,0
ref,0
id,0
channelId,0
serviceUrl,0
search,0
select,0
visit,0
hobby,0
health,0
time,0
money,0
hour,0
health.1,0
hourAdvice,0
id.1,0
id_1,0
name_1,0
