data_field,description
X_id,This is customerID
viewedAt,
createdAt,
updatedAt,
customer,
provider,
X__v,
savedDate,
numberOfVisits,
arrLastVisitTime,
lastVisitTime,
type,
menu,
place,
fbId,
name,
gender,
avatarUrl,
lastActiveTime,
sources,
spId,
phoneNumber,
feedbacks,
coin,
subscribeInvitation,
challengeCount,
isIgnorePromotion,
subscribeChallenge,
encryptedCoin,
source,
ref,
id,
channelId,
serviceUrl,
search,
select,
visit,
hobby,
health,
time,
money,
hour,
health.1,
hourAdvice,
id.1,
id_1,
name_1,
