provider,Converstion_rate,Note,__v,background,brand,createdAt_pro,createdBy,description,excludedProviders,gonjoyGiftValue,includedProviders,levels,loyaltyProgram,milestone,milestoneMess,name,onModel,status,synonyms,type,updatedAt_pro,updatedBy,validDate
5c187d73847a6500151aaac4,"0.0001,0.0001,0.0001",-->-->,0,c5c9aaa3-aff5-454c-9ae3-b3da50ae51b4.jpg,None,2019-07-07 11:12:54.078,5c187d73847a6500151aaac4,Tích điểm dễ dàng - Nhận ngàn ưu đãi từ The Cups Coffee,[],-1,[ObjectId('5c187d73847a6500151aaac4')],"[{'_id': ObjectId('5d2317c1f2a7dc0017169173'), 'milestone': 50, 'name': 'Thành Viên', 'isRenewable': False, 'note': '', 'conversionRate': 0.0001, 'reachingMilestoneMessage': '01 phần nước miễn phí', 'type': 1, 'gift': {'maxDiscountedPrice': [], 'minBill': [], 'price': [], 'loyaltyGiftType': 1, 'percent': 0}}, {'_id': ObjectId('5d2317c1f2a7dc0017169172'), 'milestone': 100, 'name': 'Thành Viên Vàng', 'isRenewable': False, 'note': '', 'conversionRate': 0.0001, 'reachingMilestoneMessage': '01 phần nước miễn phí\nMỗi 50 điểm tích lũy nhận được 01 voucher giảm giá 20%', 'type': 1, 'gift': {'maxDiscountedPrice': [], 'minBill': [], 'price': [], 'loyaltyGiftType': 1, 'percent': 0}}, {'_id': ObjectId('5d2317c1f2a7dc0017169171'), 'milestone': 500, 'name': 'Thành Viên Kim Cương', 'isRenewable': False, 'note': '', 'conversionRate': 0.0001, 'reachingMilestoneMessage': '01 combo bánh và nước bất kỳ\nMỗi 100 điểm tích lũy sẽ nhận được 01 voucher giảm giá 50%', 'type': 1, 'gift': {'maxDiscountedPrice': [], 'minBill': [], 'price': [], 'loyaltyGiftType': 1, 'percent': 0}}]",5d2317c1f2a7dc0017169170,"50,100,500","01 phần nước miễn phí-->01 phần nước miễn phí
Mỗi 50 điểm tích lũy nhận được 01 voucher giảm giá 20%-->01 combo bánh và nước bất kỳ
Mỗi 100 điểm tích lũy sẽ nhận được 01 voucher giảm giá 50%","Thành Viên,Thành Viên Vàng,Thành Viên Kim Cương",Provider,0,The Cups Coffee ,"1,1,1",2019-07-08 10:17:15.303,5c187d73847a6500151aaac4,2019-07-09 02:59:55.000
5b039c067dd590001481eaa5,"2e-05,1e-05,2e-05",-->-->,0,,,2019-06-27 17:14:54.041,5b039c067dd590001481eaa5,Tích điểm,[],-1,[ObjectId('5b039c067dd590001481eaa5')],"[{'conversionRate': 2e-05, 'reachingMilestoneMessage': 'Giảm 20% hoá đơn tiếp theo', 'milestone': 5, 'name': 'Hạng 1', 'isRenewable': False, 'type': 0, 'note': '', '_id': ObjectId('5d158402441b680017a529e0'), 'gift': {'percent': 20, 'minBill': [{'currency': {'_id': ObjectId('5a97721d28e3f00014d70498'), 'code': 'USD'}, 'value': 4.44, '_id': ObjectId('5d158402441b680017a529e2')}, {'currency': {'_id': ObjectId('5a97721d28e3f00014d70497'), 'code': 'VND'}, 'value': 100000, '_id': ObjectId('5d158402441b680017a529e1')}], 'maxDiscountedPrice': [{'currency': {'_id': ObjectId('5a97721d28e3f00014d70498'), 'code': 'USD'}, 'value': 8.89, '_id': ObjectId('5d158402441b680017a529e4')}, {'currency': {'_id': ObjectId('5a97721d28e3f00014d70497'), 'code': 'VND'}, 'value': 200000, '_id': ObjectId('5d158402441b680017a529e3')}], 'loyaltyGiftType': '2', 'price': []}}, {'conversionRate': 1e-05, 'reachingMilestoneMessage': 'Voucher 100.000 sử dụng cho lần tích điểm tiếp theo', 'milestone': 10, 'name': 'Hạng 2', 'isRenewable': False, 'type': 1, 'note': '', '_id': ObjectId('5d158402441b680017a529df'), 'gift': {'percent': 0, 'minBill': [], 'maxDiscountedPrice': [], 'loyaltyGiftType': 1, 'price': []}}, {'conversionRate': 2e-05, 'reachingMilestoneMessage': '', 'milestone': 0, 'name': 'Hạng 3', 'isRenewable': False, 'type': 1, 'note': '', '_id': ObjectId('5d158402441b680017a529de'), 'gift': {'percent': 0, 'minBill': [], 'maxDiscountedPrice': [], 'loyaltyGiftType': 1, 'price': []}}]",5d158402441b680017a529dd,"5,10,0",Giảm 20% hoá đơn tiếp theo-->Voucher 100.000 sử dụng cho lần tích điểm tiếp theo-->,"Hạng 1,Hạng 2,Hạng 3",Provider,0,Demo GonJoy SP 3,"0,1,1",2019-07-01 02:25:40.415,,2019-06-30 03:00:43.000
5b052a0dd3765900147d2fb4,2.9999760001919985e-06,,0,,,2019-06-26 16:37:40.316,5b052a0dd3765900147d2fb4,Test Gift,[],-1,[ObjectId('5b052a0dd3765900147d2fb4')],"[{'gift': {'maxDiscountedPrice': [], 'minBill': [], 'loyaltyGiftType': 1, 'price': [], 'percent': 0}, 'note': '', 'reachingMilestoneMessage': 'Anh Phương', '_id': ObjectId('5d149b84d497e20017aa81d5'), 'conversionRate': 2.9999760001919985e-06, 'type': 0, 'milestone': 5, 'isRenewable': True, 'name': 'A'}]",5d149b84d497e20017aa81d4,5,Anh Phương,A,Provider,1,GOnJOY,0,2019-06-28 03:48:57.831,5b052a0dd3765900147d2fb4,2019-12-28 10:32:57.000
5b052a0dd3765900147d2fb4,"0,0,0",-->-->,0,918a8304-3514-412e-b4e6-b4dbae28e915.png,,2019-06-26 16:37:40.316,5b052a0dd3765900147d2fb4,Tích điểm ngay - Ly trao tay,[],-1,[ObjectId('5b052a0dd3765900147d2fb4')],"[{'gift': {'maxDiscountedPrice': [], 'minBill': [], 'loyaltyGiftType': 1, 'price': [], 'percent': 0}, 'note': '', 'reachingMilestoneMessage': '1 ống hút inox + 1 que rửa', '_id': ObjectId('5d147f78d497e20017aa81b9'), 'conversionRate': 0, 'type': 1, 'milestone': 5, 'isRenewable': False, 'name': 'Trứng gà'}, {'gift': {'maxDiscountedPrice': [], 'minBill': [], 'loyaltyGiftType': 1, 'price': [], 'percent': 0}, 'note': '', 'reachingMilestoneMessage': '1 túi xách ly sành điệu', '_id': ObjectId('5d147f78d497e20017aa81b8'), 'conversionRate': 0, 'type': 1, 'milestone': 5, 'isRenewable': False, 'name': 'Gà con'}, {'gift': {'maxDiscountedPrice': [], 'minBill': [], 'loyaltyGiftType': 1, 'price': [], 'percent': 0}, 'note': '', 'reachingMilestoneMessage': 'Ly inox giữ nhiệt cao cấp', '_id': ObjectId('5d147f78d497e20017aa81b7'), 'conversionRate': 0, 'type': 1, 'milestone': 5, 'isRenewable': False, 'name': 'Gà trưởng thành'}]",5d147f78d497e20017aa81b6,"5,5,5",1 ống hút inox + 1 que rửa-->1 túi xách ly sành điệu-->Ly inox giữ nhiệt cao cấp,"Trứng gà,Gà con,Gà trưởng thành",Provider,0,GOnJOY,"1,1,1",2019-06-26 16:37:40.316,,2019-06-28 23:59:23.000
5d11c64ed092e60016787382,"0.0001,0.0001,0.0001",-->-->,0,badcc77a-9c39-4c7e-8f56-1d2943b42df1.jpeg,,2019-06-24 09:36:02.839,5d11c64ed092e60016787382,,[],-1,[ObjectId('5d11c64ed092e60016787382')],"[{'gift': {'maxDiscountedPrice': [], 'minBill': [], 'loyaltyGiftType': '1', 'price': [], 'percent': 0}, 'note': '', 'reachingMilestoneMessage': '1 phần Xôi Xoài ', '_id': ObjectId('5d11cef35970b20017b5ca1a'), 'conversionRate': 0.0001, 'type': 1, 'milestone': 50, 'isRenewable': False, 'name': 'CHIANG MAI '}, {'gift': {'maxDiscountedPrice': [], 'minBill': [], 'loyaltyGiftType': 1, 'price': [], 'percent': 0}, 'note': '', 'reachingMilestoneMessage': 'KHOAI SỌ LỆ PHỐ', '_id': ObjectId('5d11cef35970b20017b5ca19'), 'conversionRate': 0.0001, 'type': 1, 'milestone': 150, 'isRenewable': False, 'name': 'PATTAYA '}, {'gift': {'maxDiscountedPrice': [], 'minBill': [], 'loyaltyGiftType': '1', 'price': [], 'percent': 0}, 'note': '', 'reachingMilestoneMessage': 'Giảm 10% cho những lần tiếp theo', '_id': ObjectId('5d11cef35970b20017b5ca18'), 'conversionRate': 0.0001, 'type': 1, 'milestone': 300, 'isRenewable': False, 'name': 'BANGKOK'}]",5d11cef35970b20017b5ca17,"50,150,300",1 phần Xôi Xoài -->KHOAI SỌ LỆ PHỐ-->Giảm 10% cho những lần tiếp theo,"CHIANG MAI ,PATTAYA ,BANGKOK",Provider,0,Thai Market,"1,1,1",2019-06-24 09:36:02.839,,2019-06-26 07:26:46.000
5b052a0dd3765900147d2fb4,"2e-05,0.0001",-->,0,,,2019-06-23 10:54:24.476,5b052a0dd3765900147d2fb4,,[],-1,[ObjectId('5b052a0dd3765900147d2fb4')],"[{'gift': {'maxDiscountedPrice': [], 'minBill': [], 'loyaltyGiftType': 1, 'price': [], 'percent': 0}, 'note': '', 'reachingMilestoneMessage': 'Miễn phí một phần nước bất kì', '_id': ObjectId('5d103896675d1c00144bce46'), 'conversionRate': 2e-05, 'type': 0, 'milestone': 5, 'isRenewable': True, 'name': 'Thành viên'}, {'gift': {'maxDiscountedPrice': [], 'minBill': [], 'loyaltyGiftType': 1, 'price': [], 'percent': 0}, 'note': '', 'reachingMilestoneMessage': '- Đặc quyền giảm giá 10% \n- Voucher 100,000 đồng', '_id': ObjectId('5d103896675d1c00144bce45'), 'conversionRate': 0.0001, 'type': 0, 'milestone': 20, 'isRenewable': False, 'name': 'Bạc'}]",5d103896675d1c00144bce44,"5,20","Miễn phí một phần nước bất kì-->- Đặc quyền giảm giá 10% 
- Voucher 100,000 đồng","Thành viên,Bạc",Provider,0,GOnJOY,"0,0",2019-06-27 10:32:53.926,5b052a0dd3765900147d2fb4,2020-06-24 19:36:56.000
5bf65105e7598700130a7f86,"2e-05,2e-05,2e-05",-->-->,0,,None,2019-06-18 01:47:55.616,5bf65105e7598700130a7f86,Tích điểm,[],-1,[ObjectId('5bf65105e7598700130a7f86')],"[{'gift': {'maxDiscountedPrice': [], 'minBill': [], 'loyaltyGiftType': 1, 'price': [], 'percent': 0}, 'note': '', 'reachingMilestoneMessage': 'Voucher 50.000', '_id': ObjectId('5d089afb7b409c00172a3017'), 'conversionRate': 2e-05, 'type': 1, 'milestone': 5, 'isRenewable': False, 'name': 'Bạc'}, {'gift': {'maxDiscountedPrice': [], 'minBill': [{'_id': ObjectId('5d08a8d67b409c00172a3023'), 'value': 4.44, 'currency': {'_id': ObjectId('5a97721d28e3f00014d70498'), 'code': 'USD'}}, {'_id': ObjectId('5d08a8d67b409c00172a3022'), 'value': 100000, 'currency': {'_id': ObjectId('5a97721d28e3f00014d70497'), 'code': 'VND'}}], 'loyaltyGiftType': '3', 'price': [{'_id': ObjectId('5d08a8d67b409c00172a3025'), 'value': 2.22, 'currency': {'_id': ObjectId('5a97721d28e3f00014d70498'), 'code': 'USD'}}, {'_id': ObjectId('5d08a8d67b409c00172a3024'), 'value': 50000, 'currency': {'_id': ObjectId('5a97721d28e3f00014d70497'), 'code': 'VND'}}], 'percent': 0}, 'note': '', 'reachingMilestoneMessage': 'Giảm 50.000', '_id': ObjectId('5d089afb7b409c00172a3012'), 'conversionRate': 2e-05, 'type': 1, 'milestone': 15, 'isRenewable': False, 'name': 'Vàng'}, {'gift': {'maxDiscountedPrice': [], 'minBill': [], 'loyaltyGiftType': 1, 'price': [], 'percent': 0}, 'note': '', 'reachingMilestoneMessage': '', '_id': ObjectId('5d089afb7b409c00172a3011'), 'conversionRate': 2e-05, 'type': 1, 'milestone': 0, 'isRenewable': False, 'name': 'Kim cương'}]",5d089afb7b409c00172a3010,"5,15,0",Voucher 50.000-->Giảm 50.000-->,"Bạc,Vàng,Kim cương",Provider,0,Demo GonJoy SP,"1,1,1",2019-06-18 09:03:18.902,5bf65105e7598700130a7f86,2019-06-30 01:03:03.000
5b052a0dd3765900147d2fb4,"2e-05,2e-05,2e-05",-->-->,0,,None,2019-06-17 11:40:19.054,5b052a0dd3765900147d2fb4,Tích điểm,[],-1,[ObjectId('5b052a0dd3765900147d2fb4')],"[{'gift': {'maxDiscountedPrice': [], 'minBill': [], 'loyaltyGiftType': '1', 'price': [], 'percent': 0}, 'note': '', 'reachingMilestoneMessage': 'Voucher 50.000', '_id': ObjectId('5d0840075357bc0017c5ca87'), 'conversionRate': 2e-05, 'type': 0, 'milestone': 5, 'isRenewable': False, 'name': '1'}, {'gift': {'maxDiscountedPrice': [{'_id': ObjectId('5d0c9caecea02a0017b2da00'), 'value': 4.44, 'currency': {'_id': ObjectId('5a97721d28e3f00014d70498'), 'code': 'USD'}}, {'_id': ObjectId('5d0c9caecea02a0017b2d9ff'), 'value': 100000, 'currency': {'_id': ObjectId('5a97721d28e3f00014d70497'), 'code': 'VND'}}], 'minBill': [{'_id': ObjectId('5d0c9caecea02a0017b2da02'), 'value': 4.44, 'currency': {'_id': ObjectId('5a97721d28e3f00014d70498'), 'code': 'USD'}}, {'_id': ObjectId('5d0c9caecea02a0017b2da01'), 'value': 100000, 'currency': {'_id': ObjectId('5a97721d28e3f00014d70497'), 'code': 'VND'}}], 'loyaltyGiftType': '2', 'price': [], 'percent': 30}, 'note': '', 'reachingMilestoneMessage': 'Giảm 30%', '_id': ObjectId('5d0840075357bc0017c5ca82'), 'conversionRate': 2e-05, 'type': 1, 'milestone': 5, 'isRenewable': False, 'name': '2'}, {'gift': {'maxDiscountedPrice': [], 'minBill': [], 'loyaltyGiftType': 1, 'price': [], 'percent': 0}, 'note': '', 'reachingMilestoneMessage': '', '_id': ObjectId('5d0840075357bc0017c5ca81'), 'conversionRate': 2e-05, 'type': 1, 'milestone': 0, 'isRenewable': False, 'name': '3'}]",5d0840075357bc0017c5ca80,"5,5,0",Voucher 50.000-->Giảm 30%-->,"1,2,3",Provider,0,GOnJOY,"0,1,1",2019-06-21 09:00:30.657,5b052a0dd3765900147d2fb4,2019-06-29 18:35:28.000
5b052a0dd3765900147d2fb4,2e-05,Hihi,0,,,2019-06-15 10:39:31.736,5b052a0dd3765900147d2fb4,Pipi,[],-1,[ObjectId('5b052a0dd3765900147d2fb4')],"[{'gift': {'maxDiscountedPrice': [], 'minBill': [], 'loyaltyGiftType': 1, 'price': [], 'percent': 0}, 'note': 'Hihi', 'reachingMilestoneMessage': 'Trà sữa', '_id': ObjectId('5d05b3ac5c679300171475d8'), 'conversionRate': 2e-05, 'type': 0, 'milestone': 5, 'isRenewable': True, 'name': 'A'}]",5d05b3ac5c679300171475d7,5,Trà sữa,A,Provider,0,GOnJOY,0,2019-06-18 09:04:13.031,5b052a0dd3765900147d2fb4,2019-07-17 03:10:46.000
5b052a0dd3765900147d2fb4,"2e-05,2e-05,2e-05",-->-->,0,,,2019-06-14 03:40:37.649,5b052a0dd3765900147d2fb4,Chương trình tích điểm,[],-1,[ObjectId('5b052a0dd3765900147d2fb4')],"[{'gift': {'maxDiscountedPrice': [], 'minBill': [], 'loyaltyGiftType': '1', 'price': [], 'percent': None}, 'note': '', 'reachingMilestoneMessage': 'Tặng 1 ly bất kỳ', '_id': ObjectId('5d036fd431a3d9001731d7cf'), 'conversionRate': 2e-05, 'type': 0, 'milestone': 5, 'isRenewable': False, 'name': 'Hạng 1'}, {'gift': {'maxDiscountedPrice': [], 'minBill': [{'_id': ObjectId('5d036fd431a3d9001731d7cc'), 'value': 2.22, 'currency': {'_id': ObjectId('5a97721d28e3f00014d70498'), 'code': 'USD'}}, {'_id': ObjectId('5d036fd431a3d9001731d7cb'), 'value': 50000, 'currency': {'_id': ObjectId('5a97721d28e3f00014d70497'), 'code': 'VND'}}], 'loyaltyGiftType': '3', 'price': [{'_id': ObjectId('5d036fd431a3d9001731d7ce'), 'value': 2.22, 'currency': {'_id': ObjectId('5a97721d28e3f00014d70498'), 'code': 'USD'}}, {'_id': ObjectId('5d036fd431a3d9001731d7cd'), 'value': 50000, 'currency': {'_id': ObjectId('5a97721d28e3f00014d70497'), 'code': 'VND'}}], 'percent': 0}, 'note': '', 'reachingMilestoneMessage': 'Giảm 50.000', '_id': ObjectId('5d036fd431a3d9001731d7ca'), 'conversionRate': 2e-05, 'type': 1, 'milestone': 10, 'isRenewable': False, 'name': 'Hạng 2'}, {'gift': {'maxDiscountedPrice': [], 'minBill': [], 'loyaltyGiftType': 1, 'price': [], 'percent': 0}, 'note': '', 'reachingMilestoneMessage': '', '_id': ObjectId('5d036fd431a3d9001731d7c9'), 'conversionRate': 2e-05, 'type': 1, 'milestone': 0, 'isRenewable': False, 'name': 'Hạng 3'}]",5d036fd431a3d9001731d7c8,"5,10,0",Tặng 1 ly bất kỳ-->Giảm 50.000-->,"Hạng 1,Hạng 2,Hạng 3",Provider,0,GOnJOY,"0,1,1",2019-06-14 10:19:44.886,,2019-06-15 09:55:31.000
