X1,X_id,title,description,dateFrom,dateTo,providerId,provider,isAvailableInJoyGifts,updatedAt,createdAt,isDeleted,isActive,status,spam,menuRef,listReceive,numberOfRemainingUses,numberOfUses,maxDiscountedPrice,minBill,price,percent,customerGroup,campaign,promotionType,categories,listIgnores,listShares,listLikes,keywords,__v,loyaltyProgram,linkImage,image,dateBegin,dateEnd,link,isVoucherOfHunter2,isVoucher
1,5c7deebd0a2d74001422ea4b,FUNKY tặng bạn ƯU ĐÃI 20% nhân dip 8/3,8/3 phái nữ phải có quà. FUNKY COFFEE giảm giá 20% cho hội chị em phụ nữ gặp gỡ cùng nhau hàn huyện chuyện trò tại Funky. Hãy dành chút thời gian cho riêng bản thân vào ngày đặc biệt này nhé!,2019-03-05T00:00:00Z,2019-03-10T23:59:00Z,5c6cd2a5e0141c001643fd91,5c6cd2a5e0141c001643fd91,TRUE,2019-03-04T19:51:04Z,2019-03-04T19:51:04Z,FALSE,TRUE,2,list(),list(),character(0),0,0,0,0,list(),0,0,0,1,cafe,list(),list(),character(0),list(),0,NA,NA,NA,NA,NA,NA,NA,NA
2,5c7ddae7cbb9b0001410da24,Mua 5 tặng 1,Tích điểm,2019-03-05T09:10:00Z,2020-03-05T09:11:00Z,5b052a0dd3765900147d2fb4,5b052a0dd3765900147d2fb4,TRUE,2019-03-04T16:30:11Z,2019-03-04T16:30:11Z,FALSE,TRUE,1,list(),list(),character(0),0,0,"{currency:c{""5a97721d28e3f00014d70498"",""5a97721d28e3f00014d70497""},_id:c{""5c7ddae7cbb9b0001410da26"",""5c7ddae7cbb9b0001410da25""},value:c{0,0}}","list(currency = c(""5a97721d28e3f00014d70498"", ""5a97721d28e3f00014d70497""), `_id` = c(""5c7ddae7cbb9b0001410da28"", ""5c7ddae7cbb9b0001410da27""), value = c(0, 0))",list(),0,0,0,1,"c(""tra_sua"", ""cafe"", ""an_vat"", ""other"")",list(),list(),character(0),list(),0,NA,NA,NA,NA,NA,NA,NA,NA
3,5c7df34fcbb9b0001410dc07,8/3 đến TÔN NỮ QUÁN nhận quà - Cứ đến là được tặng.,"Mừng ngày quốc tế phụ nữ, Tôn Nữ Quán tặng FREE CHÈ KHOAI DẺO cùng những phần quà hấp dẫn dành tặng rieng phái Nữ. Hãy tạo bất ngờ cho người phụ nữ bạn yêu thương bằng món quà đặc biệt của TÔN NỮ QUÁN nhé!",2019-03-07T00:00:00Z,2019-03-09T23:59:00Z,5c1cabab32fc8c00153b4b53,5c1cabab32fc8c00153b4b53,TRUE,2019-03-04T16:30:11Z,2019-03-04T16:30:11Z,FALSE,TRUE,2,list(),list(),character(0),0,0,0,0,list(),0,0,0,1,other,list(),list(),character(0),list(),0,NA,NA,NA,NA,NA,NA,NA,NA
4,5c7df477cbb9b0001410dc39,GIỜ VÀNG GIẢM SỐC 45%,Ăn pizza ngon không lo HAO MÒN VÍ với ƯU ĐÃI 45% trong khung giờ 11h-17h. Giảm 35% trong những khung giờ còn lại. Chẳng những thế đượ tặng FREE NƯỚC UỐNG nếu bạn ghé thăm quán vào ngày chủ nhật. Let’s party with JOY,2019-03-01T00:00:00Z,2019-03-31T23:59:00Z,5c6e71d72affa10016b36caf,5c6e71d72affa10016b36caf,TRUE,2019-03-04T16:30:11Z,2019-03-04T16:30:11Z,FALSE,TRUE,2,list(),list(),character(0),0,0,0,0,list(),0,0,0,1,other,list(),list(),character(0),list(),0,NA,NA,NA,NA,NA,NA,NA,NA
5,5c7cda3fd71656001485a1ac,Test km,Test,2019-03-04T14:54:00Z,2019-03-05T14:55:00Z,5b039c067dd590001481eaa5,5b039c067dd590001481eaa5,TRUE,2019-03-03T16:17:21Z,2019-03-03T16:17:21Z,TRUE,TRUE,1,list(),list(),character(0),0,0,"{value:c{0,0},_id:c{""5c7ce311f8aab600142a14d7"",""5c7ce311f8aab600142a14d6""},currency:c{""5a97721d28e3f00014d70498"",""5a97721d28e3f00014d70497""}}","list(value = c(0, 0), `_id` = c(""5c7ce311f8aab600142a14d5"", ""5c7ce311f8aab600142a14d4""), currency = c(""5a97721d28e3f00014d70498"", ""5a97721d28e3f00014d70497""))",list(),0,0,0,1,tra_sua,list(),list(),character(0),list(),0,NA,NA,NA,NA,NA,NA,NA,NA
6,5c7c7ce4f8aab600142a0a6f,Tặng hoa cho khách nữ ngày 8/3,Vào ngày 8/3 bất kỳ khách nữ nào đến quán đều được tặng hoa,2019-03-08T05:00:00Z,2019-03-08T23:59:00Z,5c73bb0f558bf400162bfc52,5c73bb0f558bf400162bfc52,TRUE,2019-03-03T16:17:07Z,2019-03-03T16:17:07Z,FALSE,TRUE,1,list(),list(),character(0),0,0,"{value:c{0,0},_id:c{""5c7c8243f8aab600142a0a8d"",""5c7c8243f8aab600142a0a8c""},currency:c{""5a97721d28e3f00014d70498"",""5a97721d28e3f00014d70497""}}","list(value = c(0, 0), `_id` = c(""5c7c8243f8aab600142a0a8b"", ""5c7c8243f8aab600142a0a8a""), currency = c(""5a97721d28e3f00014d70498"", ""5a97721d28e3f00014d70497""))",list(),0,2,1,1,cafe,list(),list(),character(0),list(),0,NA,NA,NA,NA,NA,NA,NA,NA
7,5c7ce345f8aab600142a14ef,Km cho khách hàng,Km,2019-03-04T15:34:00Z,2019-03-05T15:35:00Z,5b039c067dd590001481eaa5,5b039c067dd590001481eaa5,TRUE,2019-03-03T16:17:07Z,2019-03-03T16:17:07Z,FALSE,TRUE,1,list(),list(),character(0),0,0,0,0,list(),0,0,0,1,tra_sua,list(),list(),character(0),list(),0,NA,NA,NA,NA,NA,NA,NA,NA
8,5c786b0ca9228600148466e4,Km giam gia 50%,Cho tat ca cac  mon,2019-03-01T06:11:00Z,2019-03-02T06:12:00Z,5c73c4b3673cf40014db6b83,5c73c4b3673cf40014db6b83,TRUE,2019-03-01T02:06:56Z,2019-03-01T02:06:56Z,FALSE,TRUE,1,list(),list(),character(0),0,0,"{currency:c{""5a97721d28e3f00014d70498"",""5a97721d28e3f00014d70497""},_id:c{""5c786b0ca9228600148466e6"",""5c786b0ca9228600148466e5""},value:c{0,0}}","list(currency = c(""5a97721d28e3f00014d70498"", ""5a97721d28e3f00014d70497""), `_id` = c(""5c786b0ca9228600148466e8"", ""5c786b0ca9228600148466e7""), value = c(0, 0))",list(),0,0,1,1,"c(""tra_sua"", ""cafe"", ""an_vat"", ""other"")",list(),list(),character(0),list(),0,NA,NA,NA,NA,NA,NA,NA,NA
9,5c779557dd47ea001410cbb4,Khuyến mãi gonjoy,Test,2019-02-28T15:01:00Z,2019-02-28T22:00:00Z,5bf65105e7598700130a7f86,5bf65105e7598700130a7f86,TRUE,2019-02-28T09:19:44Z,2019-02-28T09:19:44Z,FALSE,TRUE,0,list(),list(),character(0),0,0,0,0,list(),0,0,0,1,cafe,list(),list(),character(0),list(),0,NA,NA,NA,NA,NA,NA,NA,NA
10,5c7746b39f34dc0014473324,ĂN SUSHI THẢ GA - KHÔNG LO VỀ GIÁ!!,"
(English subtile below)
 NẠP NĂNG LƯỢNG MỖI NGÀY VỚI TASTY NEW YORK 🤗🤗
🍣 Sushi Nhật Bản là xưa rồi, bữa nay phải ăn Sushi kiểu Mỹ 
🍣 Giảm 10% cho khách hàng lần đầu đến quán vào khung giờ bất kì
🍣 Giảm 10% từ khung giờ từ 2-5pm mỗi ngày cho những lần tiếp theo

SHINE THE DAY BETTER WITH DELICIOUS TASTY NEW YORK 🤗🤗
🍣 Have you heard about Sushi New York, come with us and try!! 
🍣 Discount 10% for the first time visit the restaurant
🍣 Discount 10% from 2-5pm everyday for these next times
",2019-03-01T14:00:00Z,2019-03-14T17:00:00Z,5c3070e850b2f00014edd564,5c3070e850b2f00014edd564,TRUE,2019-02-28T09:17:27Z,2019-02-28T09:17:27Z,FALSE,TRUE,2,list(),list(),character(0),0,0,0,0,list(),0,0,0,1,"c(""an_vat"", ""tra_sua"", ""other"")",list(),list(),character(0),list(),0,NA,5c3070e850b2f00014edd564_f608cf5f-6129-4907-a6b3-a2e0094d1c8d.jpeg,NA,NA,NA,NA,NA,NA
